00048;58040;00012.000;Ktn 5kg             ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00049;72806;00023.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00050;73322;00052.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00051;79829;00019.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00052;58597;00235.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00053;86228;00050.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00054;58587;00058.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00055;58588;00092.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00056;72809;00074.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00057;92224;00033.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00058;68073;00032.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00059;41018;00039.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00060;85348;00113.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00061;58584;00147.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00062;58595;00144.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00063;48090;00136.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00064;68104;00225.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00065;58598;00196.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00066;58591;00149.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00067;72841;00109.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00068;58581;00128.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00069;58585;00216.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00070;86230;00140.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00071;70619;00079.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00072;86226;00168.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00073;68624;00061.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00074;78068;00001.000;Ktn 100St           ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00075;60973;00009.000;Ktn 100x25g         ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00076;58583;00036.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00077;63677;00041.000;Ktn 100St           ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00078;77917;00024.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00079;85347;00025.250;Ktn 4x2,5kg Btl     ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00080;58592;00107.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00081;52536;00088.000;Ktn 3,6kg           ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00082;85349;00083.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00083;86642;00044.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00084;58582;00094.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00085;48091;00048.000;Ktn 5kg             ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00086;53891;00264.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00087;79586;00226.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00088;61912;00199.000;Ktn 24x75g St       ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00089;7634;00155.400;kg                  ;KG ;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00090;104534;00236.000;Ktn 30x55ml St      ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00091;72812;00112.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00092;107474;00224.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00093;43055;00019.000;Ktn 40x90g St       ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00094;40858;00019.000;Ktn 10kg            ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00095;46930;00025.000;Ktn 3kg             ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00096;55274;00042.000;Ktn 12x150ml        ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00097;104536;00012.000;Ktn 8x470ml Pck     ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00098;89328;00023.000;Ktn 8x500ml         ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00099;55272;00053.000;Ktn 60x70ml Be      ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00100;40312;00201.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00101;93286;00009.000;Ktn 8x500ml Pck     ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00102;107425;00013.000;Ktn 8x500g St       ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00103;67552;00021.000;Ktn 8x500ml         ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00104;80933;00009.000;Ktn 28x85g St       ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00105;510773;00048.000;Pck 470ml           ;PCK;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00106;103912;00074.000;Sch 1kg             ;SCH;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00108;41994;00111.000;St 2,6kg            ;ST ;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00109;12190;00364.000;Pck 900g St         ;PCK;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00110;16523;00209.000;St 1,9kg            ;ST ;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
