00054;45960;00015.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00055;78042;00020.000;Btl 100St           ;BTL;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00056;61054;00167.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00057;44120;00044.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00058;44149;00015.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00059;49922;00004.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00060;84452;00013.000;Fs 24St             ;FS ;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00061;93590;00027.000;Pck 240St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00062;67415;00037.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00063;68906;00028.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00064;67415;00058.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00065;53719;00017.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00066;91376;00002.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00067;41146;00039.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00068;52752;00018.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00069;53499;00056.000;Pck 500St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00070;91376;00009.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00071;51762;00064.000;Pck 500St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00072;50245;00030.000;Btl 1000St          ;BTL;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00073;91336;00118.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00074;44121;00010.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00075;91408;00006.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00076;56812;00016.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00077;91350;00006.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00078;91349;00017.000;Pck 2000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00079;49554;00005.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00080;49953;00010.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
