00051;97022;00002.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00052;59749;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00053;100108;00004.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00054;59718;00008.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00055;100104;00003.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00056;63470;00002.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00057;100111;00004.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00058;63477;00006.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00059;71115;00006.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00060;80111;00004.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00061;100110;00001.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00062;75753;00005.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00063;83293;00006.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00064;97022;00005.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00065;75523;00006.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00066;83296;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00067;80125;00003.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00068;59749;00001.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00069;75782;00002.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00070;59749;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00071;80338;00001.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00072;83296;00001.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00073;59718;00004.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00074;71115;00006.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00075;44409;00002.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00076;83296;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00077;59752;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00078;59718;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00079;80338;00002.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00080;83296;00006.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00081;59749;00001.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00082;71115;00003.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00083;59750;00001.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00084;75649;00005.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00085;59750;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00086;75673;00002.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00087;63483;00002.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00088;63470;00006.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00089;75523;00006.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00090;75523;00003.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00091;75673;00003.000;Pck 1St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00092;63470;00002.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00093;63476;00001.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00094;63475;00003.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00095;62669;00005.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
